시도,시군구,지점명,주소,lng,lat,브랜드
부산광역시,남구,경성대 부경대점,부산 남구 대연동 50-30,129.1025436,35.1358648,피자마루
부산광역시,동래구,부산 온천점,부산 동래구 온천동 1429-28,129.0734237,35.2076136,피자마루
부산광역시,동래구,부산 사직점,부산 동래구 사직동 79-3,129.0580515,35.1969082,피자마루
부산광역시,동래구,부산 안락sk점,부산 동래구 안락동 467-43,129.1123128,35.1998825,피자마루
부산광역시,부산진구,부산 부전역점,부산 부산진구 전포동 173-1,129.0659425,35.1613834,피자마루
부산광역시,부산진구,부산 당감점,부산 부산진구 당감동 306-9,129.0390734,35.1665278,피자마루
부산광역시,북구,부산 금곡점,부산 북구 금곡동 64-4,129.0182063,35.2628776,피자마루
부산광역시,북구,부산 신만덕점,부산 북구 만덕동 344,129.0379359,35.2099439,피자마루
부산광역시,북구,부산 화명수정마을점,부산 북구 화명동 2314-1,129.0076744,35.2241677,피자마루
부산광역시,북구,부산 구포점,부산 북구 구포동 1095-2,128.9951799,35.1955306,피자마루
부산광역시,북구,부산 화명1호점,부산 북구 화명동 2268-1,129.0113306,35.2359099,피자마루
부산광역시,사상구,부산 모라점,부산 사상구 모라동 1357,128.9917443,35.1879016,피자마루
부산광역시,사상구,부산 주례점,부산 사상구 주례동 60-60,129.0127774,35.1506119,피자마루
부산광역시,사하구,부산 다대점,부산 사하구 다대동 33-2,128.9820246,35.0639864,피자마루
부산광역시,영도구,부산 남항점,부산 영도구 남항동1가 185,129.0399588,35.0892795,피자마루
부산광역시,해운대구,부산 센텀점,부산 해운대구 재송동 1200,129.1220416,35.1782213,피자마루
부산광역시,해운대구,부산 좌3동점,부산 해운대구 좌3동 1271,129.1683025,35.1728227,피자마루
부산광역시,사하구,동아대점,부산 사하구 하단동 492-2,128.964779,35.1125283,피자헛
부산광역시,부산진구,부산개금점,부산 부산진구 개금동 186-8,129.0256338,35.153473,피자헛
부산광역시,사하구,부산괴정2호점,부산 사하구 괴정동 477-31,128.9938738,35.0961179,피자헛
부산광역시,금정구,부산구서점,부산 금정구 구서동 86-89,129.090844,35.2484642,피자헛
부산광역시,사하구,부산다대포2호점,부산 사하구 다대동 1667 다대푸르지오상가 121동 102호,128.9729015,35.0620297,피자헛
부산광역시,남구,부산대연점,부산 남구 대연동 324-17 1층,129.0964527,35.1355183,피자헛
부산광역시,북구,부산덕천점,부산 북구 덕천동 400-17,129.0064843,35.2101357,피자헛
부산광역시,수영구,부산망미점,부산 수영구 망미2동 412-21,129.1076006,35.1766036,피자헛
부산광역시,동래구,부산명장점,부산 동래구 명장동 489-24,129.1046789,35.2099144,피자헛
부산광역시,강서구,부산명지점,부산 강서구 명지동 3231번지 퀸덤1차아파트 상가동,128.8977595,35.0848812,피자헛
