store,address,city,district,lng,lat
남양주양지점,경기도 남양주시 오남읍 진건오남로 793,경기도,남양주시,127.2031758,37.6974596
남양주장현점,경기도 남양주시 진접읍 장현로 63,경기도,남양주시,127.180151,37.716651
남양주진접1호점,경기도 남양주시 진접읍 해밀예당3로 52,경기도,남양주시,127.19856680000001,37.7144909
남양주청학점,경기도 남양주시 별내면 청학로68번길 5-18,경기도,남양주시,127.1190261,37.70853889999999
남양주평내점,경기도 남양주시 평내로 88,경기도,남양주시,127.23687690000001,37.643269200000006
남양주호평점,경기도 남양주시 늘을2로 26,경기도,남양주시,127.2441115,37.6550783
남원하정점,전라북도 남원시 하정동 180-1,전라북도,남원시,127.37956100000001,35.4073573
남춘천점,강원도 춘천시 춘주로 150,강원도,춘천시,127.7245283,37.8581338
남현점,서울특별시 관악구 남현1가길 4,서울특별시,관악구,126.97760840000001,37.475718
내발산점,서울특별시 강서구 강서로 306,서울특별시,강서구,126.83675590000001,37.55289129999999
노룬산점,서울특별시 광진구 뚝섬로 480,서울특별시,광진구,127.06354409999999,37.5364452
노원점,서울특별시 노원구 동일로 1390,서울특별시,노원구,127.0615013,37.6527203
녹번점,서울특별시 은평구 은평로 197-1,서울특별시,은평구,126.9295919,37.6018747
논산연무점,충청남도 논산시 연무읍 안심리 1-125 ,충청남도,논산시,127.0992933,36.1324633
논산점,충청남도 논산시 취암동 574-50 ,충청남도,논산시,127.089211,36.199870000000004
논현점,서울특별시 강남구 강남대로122길 41,서울특별시,강남구,127.02629070000002,37.508813700000005
능평삼거리점,경기도 광주시 오포읍 오포로 121,경기도,광주시,127.17951229999998,37.3441952
답십리점,서울특별시 동대문구 전농로 104,서울특별시,동대문구,127.057829,37.5742794
당고개점,서울특별시 노원구 상계로 306,서울특별시,노원구,127.0795793,37.6703196
당산점,서울특별시 영등포구 당산로44길 3,서울특별시,영등포구,126.90077990000002,37.531988399999996
당진신평점,충청남도 당진시 신평면 거산리 182-12 ,충청남도,당진시,126.7531545,36.8792671
당진원당점,충청남도 당진시 당진시 밤절로 104 그린빌아파트 상가,충청남도,당진시,126.643147,36.900862
당진읍내점,충청남도 당진시 당진읍 읍내리 242-1 ,충청남도,당진시,126.63738000000001,36.895979
대구감삼점,"대구광역시 달서구 감삼동 320-15 ""감삼빌딩"" ",대구광역시,달서구,128.54118,35.843709499999996
대구담티역점,대구광역시 수성구 만촌동 860 금탑상가 3동9호 ,대구광역시,수성구,128.6535867,35.854231
대구대곡역점,대구광역시 달성군 화원읍 구라리 1717,대구광역시,달성군,128.5111986,35.8110071
대구도원점,대구광역시 달서구 도원동 1431-4 전원빌딩109호,대구광역시,달서구,128.5355107,35.808004499999996
대구동호지구점,"대구광역시 동구 신서동 538-1,동호해오름타운101-104 ",대구광역시,동구,128.7263561,35.867459499999995
대구범어역점,대구광역시 수성구 범어동 792-4,대구광역시,수성구,128.6241387,35.8580311
대구봉덕점,대구광역시 남구 봉덕동 1327-98,대구광역시,남구,128.5993201,35.8368247
대구불로점,대구광역시 동구 불로동 400 ,대구광역시,동구,128.64076459999998,35.9115646
대구사월역점,대구광역시 수성구 신매동 10-7 시지퍼스트111호,대구광역시,수성구,128.7159904,35.8364195
대구상인점,대구광역시 달서구 상인동 1514 동방타운상가 106동 110호 ,대구광역시,달서구,128.5405349,35.817177
대구용산점,대구광역시 달서구 용산1동 932-6 ,대구광역시,달서구,128.5308691,35.858044
대구월성점,대구광역시 달서구 월성2동 273-4 센트로벨리107 ,대구광역시,달서구,128.5308219,35.831635399999996
대구지산점,대구광역시 수성구 지산동 1288-9 ,대구광역시,수성구,128.6402007,35.8218744
