store,address,city,district,lat,lng,population,city_district
오포점,"경기도 광주시 오포읍 오포로 116, 106~107호 (능평리, 한산빌딩)",경기도,광주시,37.3437175,127.1790386,366092,경기도광주시
구리인창점,경기도 구리시 동구릉로 79 (인창동),경기도,구리시,37.6071768,127.1340702,201952,경기도구리시
구리점,"경기도 구리시 벌말로 185, 상가 110~111호 (수택동, 구리태영데시앙아파트)",경기도,구리시,37.5938694,127.1498577,201952,경기도구리시
군포점,경기도 군포시 금당로 23 (당동),경기도,군포시,37.3501204,126.9404924,275207,경기도군포시
산본점,경기도 군포시 산본로431번안길 3-7 (산본동),경기도,군포시,37.367283,126.9262244,275207,경기도군포시
고촌점,경기도 김포시 고촌읍 은행영사정로 41 (신곡리),경기도,김포시,37.60279910000001,126.7747866,429752,경기도김포시
김포구래점,경기도 김포시 김포한강9로12번길 97-10,경기도,김포시,37.6408835,126.6273092,429752,경기도김포시
김포사우점,"경기도 김포시 돌문로 95, 1층 104호 (사우동)",경기도,김포시,37.6216053,126.7132098,429752,경기도김포시
김포장기점,경기도 김포시 김포한강1로78번길 62-15 (장기동),경기도,김포시,37.6425971,126.6724027,429752,경기도김포시
김포통진점,경기도 김포시 통진읍 조강로 24 (서암리),경기도,김포시,37.6887526,126.6024115,429752,경기도김포시
남양주점,경기도 남양주시 진접읍 진건오남로 998 (연평리),경기도,남양주시,37.7093,127.18593090000002,687575,경기도남양주시
덕소점,"경기도 남양주시 와부읍 수레로 49, 104~105호 (덕소리, 마이다스빌딩)",경기도,남양주시,37.5884428,127.2167856,687575,경기도남양주시
마석점,경기도 남양주시 화도읍 마석중앙로28번길 40-1 (창현리),경기도,남양주시,37.6511963,127.3062347,687575,경기도남양주시
별내점,경기 남양주시 송산로 153 오토스퀘어 빌딩,경기도,남양주시,37.656249,127.129387,687575,경기도남양주시
호평평내점,경기도 남양주시 경춘로 1324,경기도,남양주시,37.6510883,127.2391962,687575,경기도남양주시
동두천점,경기도 동두천시 삼육사로 945 (생연동),경기도,동두천시,37.8990337,127.0546852,95375,경기도동두천시
