store,address,lng,lat,city,district,city_district
공덕점,서울 마포구 신공덕동 15-82 2층상가,126.9548301,37.5448814,서울특별시,마포구,서울특별시마포구
공릉2호점,서울 노원구 공릉동 568-25,127.0735531,37.6228711,서울특별시,노원구,서울특별시노원구
구산2호점,서울 은평구 구산동 1-24번지,126.9165697,37.6114428,서울특별시,은평구,서울특별시은평구
구의점,서울 광진구 아차산로 431 강변SK뷰 102동 102호,127.09012040000002,37.538818799999994,서울특별시,광진구,서울특별시광진구
군자2호점,서울 광진구 중곡동 162-12,127.08097930000001,37.560342299999995,서울특별시,광진구,서울특별시광진구
금호사거리점,서울 성동구 금호동1가 1801-3 1층,127.02613400000001,37.5488673,서울특별시,성동구,서울특별시성동구
까치산2호점,서울 강서구 화곡동 921-22,126.84094340000001,37.530094399999996,서울특별시,강서구,서울특별시강서구
난곡2호점,서울 관악구 신림동 1570-9,126.9183124,37.4822487,서울특별시,관악구,서울특별시관악구
노원점,서울 노원구 상계동 751-4,127.0654916,37.6521441,서울특별시,노원구,서울특별시노원구
당산3호점,서울 영등포구 당산동3가 139-2호 화진빌딩 2층,126.8979426,37.5272468,서울특별시,영등포구,서울특별시영등포구
대방점,서울 동작구 대방동 341-4,126.9255288,37.5119994,서울특별시,동작구,서울특별시동작구
도곡2호점,서울 강남구 개포동 158-12번지JJ빌딩1층,127.06149409999999,37.482248299999995,서울특별시,강남구,서울특별시강남구
독립문2호점,서울 종로구 교남동 25,126.96510970000001,37.5677446,서울특별시,종로구,서울특별시종로구
동덕여대점,서울 성북구 하월곡동 16-3,127.0431162,37.6031449,서울특별시,성북구,서울특별시성북구
마곡점,서울 강서구 마곡동 747 마곡엠밸리10단지,126.81936540000001,37.5595465,서울특별시,강서구,서울특별시강서구
망우점,서울 중랑구 망우동 487-2,127.1000613,37.600068799999995,서울특별시,중랑구,서울특별시중랑구
목동중앙점,"서울 양천구 목동 908-34 부영그린타운3차109,110호",126.88221159999999,37.536731,서울특별시,양천구,서울특별시양천구
미아삼거리점,서울 강북구 미아동 49-15 1층,127.03426759999999,37.611385299999995,서울특별시,강북구,서울특별시강북구
방배2호점,서울 서초구 방배동 851-6,126.99307409999999,37.489293599999996,서울특별시,서초구,서울특별시서초구
방이점,서울 송파구 방이동 160번지 1층,127.1198812,37.512458,서울특별시,송파구,서울특별시송파구
방학역점,서울 도봉구 방학동 705-3,127.04385559999999,37.669020399999994,서울특별시,도봉구,서울특별시도봉구
보라매점,서울 동작구 대방동 400-3번지,126.9206625,37.4994876,서울특별시,동작구,서울특별시동작구
불광점,서울 은평구 불광동 494번지,126.92036259999999,37.625708,서울특별시,은평구,서울특별시은평구
사가정점,서울 중랑구 면목동 498-3,127.08836640000001,37.582793,서울특별시,중랑구,서울특별시중랑구
사당점,서울 동작구 사당3동 152-2 1층,126.9784692,37.48444179999999,서울특별시,동작구,서울특별시동작구
삼성중앙점,서울 강남구 삼성동 48-4,127.0503389,37.5136374,서울특별시,강남구,서울특별시강남구
삼양사거리점,서울 강북구 미아동 688-5,127.02071799999999,37.6193771,서울특별시,강북구,서울특별시강북구
상도역점,서울 동작구 상도1동 783-1 1층,126.9484014,37.5019332,서울특별시,동작구,서울특별시동작구
서울고점,서울 서초구 서초동 1533 1층,127.0099788,37.484207500000004,서울특별시,서초구,서울특별시서초구
서울대본점,서울 관악구 봉천동 1673-21,126.9569324,37.480003100000005,서울특별시,관악구,서울특별시관악구
서초교대역,서울 서초구 서초동 1689-2,127.01791159999999,37.495221799999996,서울특별시,서초구,서울특별시서초구
성내본점,서울 강동구 성내동 435-9,127.13033359999999,37.526293700000004,서울특별시,강동구,서울특별시강동구
성산3호점,서울 마포구 성산동 108-4,126.9140246,37.5632523,서울특별시,마포구,서울특별시마포구
